stock
AAL.L
AZN.L
BARC.L
BATS.L
BP.L
CPG.L
CRH.L
DGE.L
EXPN.L
FLTRF.L
GSK.L
HSBA.L
LLOY.L
LSEG.L
OCDO.L
PRU.L
REL.L
RIO.L
TSCO.L
ULVR.L
VOD.L
