stock
10516
10874
11308
11404
11674
11850
12036
12052
13610
13688
13856
13928
14541
14816
15202
16432
16600
16678
17005
17144
17478
17726
17929
18163
18411
18542
18649
18729
19350
19393
19502
19561
20053
20618
21186
21207
21928
22103
22111
22293
22509
22517
22779
23229
23579
23712
23931
24109
24205
24272
24328
24440
24766
24969
24985
25232
25320
25419
25785
25953
26403
26710
26825
27633
27684
27887
27888
27991
28222
28484
28804
29209
30681
30940
32707
34032
34817
34833
35044
36397
37584
37875
38156
38703
38762
39538
39642
39917
41080
42550
43350
43449
43553
44206
44644
45751
46463
46578
46674
47466
47706
47896
47941
48653
48725
49015
49154
49373
49429
49656
49680
50017
52090
52476
52695
52708
52978
53065
54148
55001
55212
56223
56274
56573
57568
57665
57808
57904
58413
59300
59459
59619
60206
60506
60628
60986
61735
62148
62308
63773
64282
64311
64936
65307
65875
66325
66800
67598
69649
70092
71175
71176
73139
75041
75182
75186
75241
75278
75603
76123
76135
76136
76591
76605
76644
76712
76837
77129
77157
77300
77366
77462
77605
77649
77730
83011
83601
85631
